ID,Cluster
100000001,2
100000002,4
100000003,3
100000004,2
100000005,2
100000006,3
100000007,2
100000008,2
100000009,3
100000010,4
100000011,4
100000012,4
100000013,4
100000014,3
100000015,4
100000016,3
100000017,2
100000018,2
100000019,4
100000020,2
100000021,2
100000022,2
100000023,3
100000024,2
100000025,4
100000026,3
100000027,3
100000028,4
100000029,2
100000030,2
100000031,4
100000032,2
100000033,2
100000034,3
100000035,4
100000036,3
100000037,2
100000038,2
100000039,2
100000040,2
100000041,2
100000042,4
100000043,3
100000044,4
100000045,3
100000046,4
100000047,2
100000048,3
100000049,3
100000050,4
100000051,3
100000052,2
100000053,2
100000054,2
100000055,2
100000056,3
100000057,2
100000058,4
100000059,4
100000060,3
100000061,4
100000062,2
100000063,2
100000064,2
100000065,4
100000066,2
100000067,4
100000068,4
100000069,2
100000070,4
100000071,4
100000072,3
100000073,2
100000074,3
100000075,2
100000076,2
100000077,2
100000078,2
100000079,3
100000080,4
100000081,4
100000082,2
100000083,3
100000084,3
100000085,3
100000086,4
100000087,4
100000088,2
100000089,2
100000090,2
100000091,2
100000092,2
100000093,3
100000094,2
100000095,2
100000096,2
100000097,4
100000098,2
100000099,2
100000100,2
100000101,3
100000102,2
100000103,4
100000104,2
100000105,4
100000106,2
100000107,2
100000108,2
100000109,4
100000110,4
100000111,4
100000112,4
100000113,3
100000114,4
100000115,4
100000116,2
100000117,4
100000118,4
100000119,4
100000120,4
100000121,4
100000122,4
100000123,3
100000124,2
100000125,4
100000126,2
100000127,3
100000128,2
100000129,2
100000130,4
100000131,4
100000132,2
100000133,3
100000134,2
100000135,4
100000136,4
100000137,2
100000138,3
100000139,2
100000140,3
100000141,3
100000142,4
100000143,2
100000144,2
100000145,4
100000146,2
100000147,4
100000148,4
100000149,2
100000150,2
100000151,2
100000152,2
100000153,2
100000154,4
100000155,2
100000156,4
100000157,2
100000158,3
100000159,2
100000160,3
100000161,2
100000162,4
100000163,2
100000164,2
100000165,2
100000166,2
100000167,4
100000168,4
100000169,4
100000170,4
100000171,2
100000172,4
100000173,4
100000174,2
100000175,2
100000176,4
100000177,4
100000178,2
100000179,2
100000180,2
100000181,4
100000182,4
100000183,3
100000184,2
100000185,2
100000186,2
100000187,1
100000188,3
100000189,4
100000190,4
100000191,2
100000192,3
100000193,2
100000194,4
100000195,2
100000196,4
100000197,4
100000198,4
100000199,2
100000200,4
100000201,2
100000202,3
100000203,2
100000204,4
100000205,3
100000206,2
100000207,2
100000208,2
100000209,3
100000210,2
100000211,2
100000212,3
100000213,2
100000214,2
100000215,2
100000216,3
100000217,2
100000218,2
100000219,3
100000220,1
100000221,3
100000222,4
100000223,2
100000224,2
100000225,2
100000226,2
100000227,2
100000228,2
100000229,2
100000230,2
100000231,2
100000232,3
100000233,2
100000234,3
100000235,3
100000236,2
100000237,3
100000238,3
100000239,4
100000240,2
100000241,4
100000242,2
100000243,2
100000244,4
100000245,3
100000246,2
100000247,2
100000248,2
100000249,2
100000250,4
100000251,3
100000252,3
100000253,4
100000254,2
100000255,2
100000256,3
100000257,3
100000258,4
100000259,4
100000260,3
100000261,2
100000262,4
100000263,2
100000264,3
100000265,3
100000266,2
100000267,2
100000268,4
100000269,4
100000270,2
100000271,2
100000272,4
100000273,2
100000274,2
100000275,3
100000276,2
100000277,4
100000278,3
100000279,4
100000280,2
100000281,2
100000282,2
100000283,3
100000284,2
100000285,4
100000286,4
100000287,2
100000288,2
100000289,4
100000290,4
100000291,4
100000292,4
100000293,4
100000294,2
100000295,4
100000296,4
100000297,4
100000298,3
100000299,2
100000300,2
100000301,3
100000302,4
100000303,3
100000304,2
100000305,2
100000306,4
100000307,3
100000308,3
100000309,4
100000310,3
100000311,3
100000312,2
100000313,4
100000314,3
100000315,3
100000316,2
100000317,3
100000318,3
100000319,2
100000320,3
100000321,4
