ID,Cluster
100000001,0
100000002,1
100000003,2
100000004,3
100000005,0
100000006,3
100000007,0
100000008,3
100000009,0
100000010,3
100000011,1
100000012,1
100000013,1
100000014,0
100000015,1
100000016,1
100000017,0
100000018,3
100000019,3
100000020,3
100000021,0
100000022,3
100000023,2
100000024,3
100000025,1
100000026,2
100000027,2
100000028,3
100000029,2
100000030,0
100000031,3
100000032,1
100000033,3
100000034,2
100000035,3
100000036,2
100000037,3
100000038,3
100000039,2
100000040,1
100000041,3
100000042,1
100000043,2
100000044,3
100000045,0
100000046,1
100000047,3
100000048,1
100000049,2
100000050,1
100000051,2
100000052,3
100000053,1
100000054,2
100000055,0
100000056,2
100000057,0
100000058,3
100000059,1
100000060,1
100000061,1
100000062,0
100000063,0
100000064,3
100000065,1
100000066,0
100000067,1
100000068,1
100000069,2
100000070,1
100000071,3
100000072,2
100000073,0
100000074,2
100000075,3
100000076,0
100000077,3
100000078,0
100000079,3
100000080,1
100000081,3
100000082,0
100000083,1
100000084,0
100000085,2
100000086,1
100000087,1
100000088,3
100000089,3
100000090,2
100000091,0
100000092,0
100000093,2
100000094,1
100000095,0
100000096,0
100000097,0
100000098,3
100000099,2
100000100,3
100000101,2
100000102,1
100000103,1
100000104,2
100000105,1
100000106,3
100000107,3
100000108,3
100000109,3
100000110,3
100000111,1
100000112,1
100000113,2
100000114,1
100000115,3
100000116,0
100000117,3
100000118,1
100000119,1
100000120,3
100000121,1
100000122,3
100000123,2
100000124,0
100000125,1
100000126,2
100000127,2
100000128,2
100000129,3
100000130,1
100000131,3
100000132,3
100000133,2
100000134,0
100000135,3
100000136,1
100000137,3
100000138,0
100000139,3
100000140,2
100000141,1
100000142,3
100000143,3
100000144,1
100000145,1
100000146,3
100000147,1
100000148,0
100000149,3
100000150,3
100000151,2
100000152,2
100000153,3
100000154,3
100000155,3
100000156,1
100000157,0
100000158,2
100000159,3
100000160,2
100000161,3
100000162,1
100000163,3
100000164,0
100000165,3
100000166,3
100000167,1
100000168,1
100000169,1
100000170,1
100000171,2
100000172,1
100000173,3
100000174,2
100000175,1
100000176,0
100000177,2
100000178,0
100000179,3
100000180,0
100000181,3
100000182,3
100000183,2
100000184,3
100000185,2
100000186,2
100000187,0
100000188,0
100000189,1
100000190,1
100000191,0
100000192,2
100000193,3
100000194,1
100000195,1
100000196,3
100000197,1
100000198,1
100000199,3
100000200,3
100000201,0
100000202,2
100000203,3
100000204,1
100000205,2
100000206,3
100000207,2
100000208,1
100000209,1
100000210,0
100000211,3
100000212,2
100000213,0
100000214,0
100000215,0
100000216,2
100000217,3
100000218,3
100000219,1
100000220,0
100000221,2
100000222,1
100000223,2
100000224,2
100000225,3
100000226,1
100000227,3
100000228,0
100000229,1
100000230,1
100000231,3
100000232,2
100000233,2
100000234,2
100000235,2
100000236,3
100000237,3
100000238,0
100000239,1
100000240,2
100000241,1
100000242,0
100000243,1
100000244,1
100000245,1
100000246,1
100000247,0
100000248,2
100000249,1
100000250,1
100000251,2
100000252,2
100000253,1
100000254,3
100000255,1
100000256,2
100000257,2
100000258,1
100000259,1
100000260,0
100000261,1
100000262,0
100000263,3
100000264,0
100000265,2
100000266,2
100000267,3
100000268,1
100000269,3
100000270,1
100000271,2
100000272,1
100000273,3
100000274,1
100000275,3
100000276,2
100000277,1
100000278,2
100000279,1
100000280,3
100000281,3
100000282,0
100000283,2
100000284,0
100000285,3
100000286,3
100000287,3
100000288,3
100000289,0
100000290,0
100000291,1
100000292,3
100000293,3
100000294,0
100000295,0
100000296,3
100000297,1
100000298,2
100000299,2
100000300,3
100000301,2
100000302,3
100000303,2
100000304,2
100000305,3
100000306,3
100000307,1
100000308,2
100000309,1
100000310,1
100000311,2
100000312,3
100000313,1
100000314,2
100000315,2
100000316,2
100000317,2
100000318,0
100000319,2
100000320,1
100000321,3
100000322,1
100000323,3
100000324,3
100000325,1
100000326,2
100000327,3
100000328,3
100000329,3
100000330,1
100000331,0
100000332,1
100000333,3
100000334,3
100000335,1
100000336,0
100000337,1
100000338,1
100000339,3
100000340,2
100000341,1
100000342,1
100000343,3
100000344,3
100000345,2
100000346,2
100000347,1
100000348,1
100000349,2
100000350,3
100000351,1
100000352,1
100000353,3
100000354,3
100000355,3
100000356,2
100000357,0
100000358,3
100000359,1
100000360,1
100000361,0
100000362,3
100000363,1
100000364,1
100000365,2
100000366,2
100000367,1
100000368,1
100000369,3
100000370,3
100000371,2
100000372,3
100000373,1
100000374,0
100000375,0
100000376,3
100000377,1
100000378,2
100000379,0
100000380,2
100000381,2
100000382,3
100000383,1
100000384,1
100000385,2
100000386,1
100000387,1
100000388,3
100000389,3
100000390,1
100000391,3
100000392,1
100000393,3
100000394,1
100000395,3
100000396,3
100000397,0
100000398,0
100000399,0
100000400,2
100000401,2
100000402,1
100000403,3
100000404,2
100000405,3
100000406,1
100000407,2
100000408,1
100000409,3
100000410,3
100000411,1
100000412,3
100000413,3
100000414,2
100000415,1
100000416,3
100000417,2
100000418,3
100000419,3
100000420,1
100000421,1
100000422,1
100000423,2
100000424,3
100000425,1
100000426,1
100000427,1
100000428,3
100000429,1
100000430,2
100000431,0
100000432,3
100000433,3
100000434,1
100000435,1
100000436,1
100000437,1
100000438,3
100000439,0
100000440,1
100000441,3
100000442,1
100000443,3
100000444,2
100000445,3
100000446,2
100000447,1
100000448,2
100000449,0
100000450,0
100000451,3
100000452,1
100000453,2
100000454,3
100000455,3
100000456,3
100000457,3
100000458,2
100000459,1
100000460,3
100000461,3
100000462,2
100000463,3
100000464,2
100000465,2
100000466,0
100000467,1
100000468,3
100000469,1
100000470,2
100000471,1
100000472,1
100000473,2
100000474,3
100000475,1
100000476,1
100000477,1
100000478,3
100000479,2
100000480,2
100000481,1
100000482,1
100000483,0
100000484,1
100000485,3
100000486,3
100000487,0
100000488,0
100000489,2
100000490,1
100000491,1
100000492,3
100000493,1
100000494,2
100000495,2
100000496,1
100000497,3
100000498,2
100000499,2
100000500,1
100000501,1
100000502,3
100000503,0
100000504,2
100000505,1
100000506,2
100000507,3
100000508,3
100000509,1
100000510,3
100000511,1
100000512,3
100000513,3
100000514,1
100000515,0
100000516,1
100000517,2
100000518,1
100000519,3
100000520,2
100000521,3
100000522,1
100000523,0
100000524,1
100000525,1
100000526,3
100000527,1
100000528,2
100000529,1
100000530,2
100000531,2
100000532,1
100000533,2
100000534,1
100000535,1
100000536,1
100000537,0
100000538,3
100000539,3
100000540,2
100000541,1
100000542,0
100000543,3
100000544,2
100000545,0
100000546,2
100000547,1
100000548,2
100000549,1
100000550,3
100000551,1
100000552,2
100000553,3
100000554,3
100000555,0
100000556,1
100000557,1
100000558,1
100000559,1
100000560,2
100000561,0
100000562,2
100000563,1
100000564,3
100000565,3
100000566,1
100000567,1
100000568,3
100000569,3
100000570,3
100000571,1
100000572,3
100000573,3
100000574,1
100000575,2
100000576,1
100000577,1
100000578,1
100000579,1
100000580,2
100000581,2
100000582,2
100000583,1
100000584,2
100000585,0
100000586,1
100000587,2
100000588,2
100000589,2
100000590,0
100000591,0
100000592,3
100000593,1
100000594,1
100000595,3
100000596,1
100000597,1
100000598,2
100000599,2
100000600,3
100000601,0
100000602,1
100000603,1
100000604,3
100000605,1
100000606,1
100000607,0
100000608,0
100000609,2
100000610,2
100000611,1
100000612,2
100000613,3
100000614,1
100000615,1
100000616,3
100000617,3
100000618,2
100000619,1
100000620,2
100000621,1
100000622,2
100000623,3
100000624,1
100000625,0
100000626,2
100000627,3
100000628,1
100000629,3
100000630,0
100000631,1
100000632,2
100000633,1
100000634,1
100000635,1
100000636,2
100000637,1
100000638,3
100000639,1
100000640,1
100000641,1
100000642,2
100000643,3
100000644,1
100000645,3
100000646,3
100000647,3
100000648,1
100000649,2
100000650,2
100000651,3
100000652,2
100000653,2
100000654,3
100000655,2
100000656,1
100000657,2
100000658,3
100000659,1
100000660,3
100000661,1
100000662,1
100000663,0
100000664,3
100000665,2
100000666,3
100000667,3
100000668,1
100000669,3
100000670,3
100000671,2
100000672,3
100000673,3
100000674,1
100000675,2
